Source	Target	Comment
substance	constipation	removed by SMT
substance	abuse	removed by SMT
substance	drowsiness	removed by SMT
substance	migraine	removed by SMT
substance	condition	removed by SMT
substance	fever	removed by SMT
substance	human_cancer	removed by SMT
substance	mental_health_problem	removed by SMT
substance	erratic_behavior	removed by SMT
substance	physical_dependence	removed by SMT
substance	lung_cancer	removed by SMT
substance	atherosclerosis	removed by SMT
substance	rash	removed by SMT
substance	chronic_bronchitis	removed by SMT
substance	skin_reaction	removed by SMT
substance	vomiting	removed by SMT
substance	anxiety	removed by SMT
substance	environmental_problem	removed by SMT
substance	infertility	removed by SMT
substance	cellular_damage	removed by SMT
substance	hallucination	removed by SMT
substance	skin_problem	removed by SMT
substance	liver_damage	removed by SMT
substance	sensitivity	removed by SMT
ct	numbness	removed by SMT
ct	cancer	removed by SMT
global_financial_crisis	decline	removed by SMT
global_financial_crisis	loss	removed by SMT
anovulatory_cycle	infertility	removed by SMT
bone_marrow_failure	leukemia	removed by SMT
bone_marrow_failure	morbidity	removed by SMT
autoimmune_disorder	inflammation_of_the_joint	removed by SMT
autoimmune_disorder	joint_inflammation	removed by SMT
autoimmune_disorder	chronic_fatigue	removed by SMT
autoimmune_disorder	pain	removed by SMT
autoimmune_disorder	arthritis	removed by SMT
autoimmune_disorder	asthma	removed by SMT
autoimmune_disorder	allergy	removed by SMT
autoimmune_disorder	immune_system	removed by SMT
autoimmune_disorder	pleurisy	removed by SMT
leukopenia	opportunistic_infection	removed by SMT
allele	homosexuality	removed by SMT
allele	diabetes	removed by SMT
gene_mutation	genetic_disorder	removed by SMT
gene_mutation	obesity	removed by SMT
gene_mutation	human_disease	removed by SMT
gene_mutation	problem	removed by SMT
major_complication	paralysis	removed by SMT
abnormal_heart_rhythm	symptom	removed by SMT
abnormal_heart_rhythm	heart_failure	removed by SMT
gigantism	complication	removed by SMT
gigantism	hirsutism	removed by SMT
genetic_factor	deafness	removed by SMT
genetic_factor	diabetes	removed by SMT
genetic_factor	schizophrenia	removed by SMT
genetic_factor	addiction	removed by SMT
genetic_factor	illness	removed by SMT
genetic_factor	homosexuality	removed by SMT
genetic_factor	eating_disorder	removed by SMT
genetic_factor	bipolar_disorder	removed by SMT
genetic_factor	osteoporosis	removed by SMT
genetic_factor	cf	removed by SMT
genetic_factor	variation	removed by SMT
genetic_factor	lung_cancer	removed by SMT
vitamin_e_deficiency	nerve_problem	removed by SMT
vitamin_e_deficiency	retinopathy	removed by SMT
decreased_blood_flow	disability	removed by SMT
decreased_blood_flow	problem	removed by SMT
decreased_blood_flow	symptom	removed by SMT
decreased_blood_flow	heart_attack	removed by SMT
genetic_abnormality	autism	removed by SMT
genetic_abnormality	death	removed by SMT
genetic_abnormality	condition	removed by SMT
genetic_abnormality	birth_defect	removed by SMT
genetic_abnormality	obesity	removed by SMT
irish_potato_famine	death	removed by SMT
environmental_risk	ill_health	removed by SMT
cartilage_breakdown	osteoarthritis	removed by SMT
cartilage_breakdown	pain	removed by SMT
scarring_of_the_lung	asbestosis	removed by SMT
sexual_promiscuity	infertility	removed by SMT
personality	behavior	removed by SMT
personality	difficulty	removed by SMT
neurological_condition	delusion	removed by SMT
neurological_condition	developmental_disability	removed by SMT
skin_inflammation	itching	removed by SMT
mental_deterioration	dementia	removed by SMT
ear_damage	vertigo	removed by SMT
systemic_problem	death	removed by SMT
systemic_problem	medical_error	removed by SMT
myth	frustration	removed by SMT
myth	violence	removed by SMT
myth	death	removed by SMT
myth	discrimination	removed by SMT
myth	prejudice	removed by SMT
myth	hatred	removed by SMT
prolonged_bleeding	death	removed by SMT
prolonged_bleeding	shock	removed by SMT
heredity	social_problem	removed by SMT
heredity	difference	removed by SMT
heredity	mental_illness	removed by SMT
heredity	male_pattern_baldness	removed by SMT
heredity	disorder	removed by SMT
heredity	illness	removed by SMT
heredity	insanity	removed by SMT
heredity	change	removed by SMT
heredity	panic_attack	removed by SMT
heredity	obesity	removed by SMT
heredity	hypertension	removed by SMT
heredity	childhood_obesity	removed by SMT
heredity	learning_disability	removed by SMT
neurodegenerative_change	ad	removed by SMT
lifestyle_choice	illness	removed by SMT
lifestyle_choice	acid_reflux	removed by SMT
lifestyle_choice	chronic_disease	removed by SMT
lifestyle_choice	osteoporosis	removed by SMT
lifestyle_choice	heart_disease	removed by SMT
environmental_factor	parkinson_'s_disease	removed by SMT
environmental_factor	migraine	removed by SMT
environmental_factor	decline	removed by SMT
environmental_factor	different_disease	removed by SMT
environmental_factor	dry_eye	removed by SMT
environmental_factor	toxin	removed by SMT
environmental_factor	mental_illness	removed by SMT
environmental_factor	cell_damage	removed by SMT
environmental_factor	allergic_reaction	removed by SMT
environmental_factor	psychiatric_disorder	removed by SMT
environmental_factor	diabetes	removed by SMT
environmental_factor	effect	removed by SMT
environmental_factor	low_sperm_count	removed by SMT
environmental_factor	hearing_loss	removed by SMT
environmental_factor	anxiety	removed by SMT
environmental_factor	instability	removed by SMT
environmental_factor	hypertension	removed by SMT
environmental_factor	rheumatoid_arthritis	removed by SMT
environmental_factor	aggression	removed by SMT
environmental_factor	increased_risk	removed by SMT
environmental_factor	failure	removed by SMT
environmental_factor	disability	removed by SMT
environmental_factor	accident	removed by SMT
environmental_factor	injury	removed by SMT
locus	gene	removed by SMT
progressive_vision_loss	blindness	removed by SMT
senility	symptom	removed by SMT
senility	loss_of_memory	removed by SMT
asbestos	premature_death	removed by SMT
asbestos	damage_to_the_lung	removed by SMT
asbestos	major_disease	removed by SMT
asbestos	debilitating_disease	removed by SMT
asbestos	colon_cancer	removed by SMT
asbestos	property_damage	removed by SMT
asbestos	serious_condition	removed by SMT
asbestos	lung_damage	removed by SMT
asbestos	various_disease	removed by SMT
asbestos	ill_health	removed by SMT
asbestos	tumor	removed by SMT
asbestos	malignancy	removed by SMT
asbestos	breathing_problem	removed by SMT
asbestos	leukemia	removed by SMT
asbestos	serious_injury	removed by SMT
flight	problem	removed by SMT
trigger	anxiety	removed by SMT
trigger	panic_attack	removed by SMT
trigger	cf	removed by SMT
trigger	action	removed by SMT
trigger	attack	removed by SMT
trigger	event	removed by SMT
trigger	death	removed by SMT
trigger	respiratory_problem	removed by SMT
trigger	obesity	removed by SMT
trigger	reaction	removed by SMT
environment	behavior	removed by SMT
environment	difficulty	removed by SMT
environment	asthma	removed by SMT
environment	toxicity	removed by SMT
environment	degradation	removed by SMT
environment	development	removed by SMT
environment	fatigue	removed by SMT
environment	pain	removed by SMT
thrombosis	ischemic_stroke	removed by SMT
thrombosis	pulmonary_embolism	removed by SMT
thrombosis	mortality	removed by SMT
thrombosis	pain	removed by SMT
thrombosis	paralysis	removed by SMT
thrombosis	condition	removed by SMT
clotting	problem	removed by SMT
blowout	oil_spill	removed by SMT
blowout	fire	removed by SMT
qi	pain	removed by SMT
acidity	arthritis	removed by SMT
acidity	insomnia	removed by SMT
acidity	disease	removed by SMT
acidity	problem	removed by SMT
acidity	smell	removed by SMT
acidity	headache	removed by SMT
hpv_type	persistent_infection	removed by SMT
hpv_type	lesion	removed by SMT
hpv_type	wart	removed by SMT
heavy_bleeding	hysterectomy	removed by SMT
heavy_bleeding	fatigue	removed by SMT
heavy_bleeding	iron_deficiency	removed by SMT
heavy_bleeding	severe_anemia	removed by SMT
driver_error	sudden_acceleration	removed by SMT
driver_error	disaster	removed by SMT
spelling	problem	removed by SMT
molecule	cell_damage	removed by SMT
molecule	oxidative_damage	removed by SMT
cheating	punishment	removed by SMT
cheating	success	removed by SMT
cheating	harm	removed by SMT
increased_pressure	damage	removed by SMT
increased_pressure	blindness	removed by SMT
increased_pressure	nausea	removed by SMT
increased_pressure	headache	removed by SMT
slowdown	job_loss	removed by SMT
hearing	legislation	removed by SMT
hearing	faith	removed by SMT
hearing	new_legislation	removed by SMT
new_legislation	change	removed by SMT
pm	change	removed by SMT
pm	hormonal_change	removed by SMT
bph	discomfort	removed by SMT
bph	difficulty	removed by SMT
coccidiosis	diarrhoea	removed by SMT
coccidiosis	diarrhea	removed by SMT
shyness	problem	removed by SMT
shyness	silence	removed by SMT
shyness	social_anxiety	removed by SMT
hormone_level	pregnancy	removed by SMT
discouragement	hopelessness	removed by SMT
further_delay	confusion	removed by SMT
adrenal_exhaustion	weight_gain	removed by SMT
adrenal_exhaustion	depression	removed by SMT
miscommunication	argument	removed by SMT
miscommunication	failure	removed by SMT
miscommunication	fatality	removed by SMT
miscommunication	birth_injury	removed by SMT
miscommunication	friction	removed by SMT
miscommunication	tension	removed by SMT
miscommunication	turnover	removed by SMT
miscommunication	anger	removed by SMT
miscommunication	confusion	removed by SMT
retinal_damage	vision_loss	removed by SMT
change_in_your_body	discomfort	removed by SMT
flare	pain	removed by SMT
increased_inflammation	damage	removed by SMT
social_anxiety	depression	removed by SMT
poison	pain	removed by SMT
poison	delirium	removed by SMT
poison	respiratory_failure	removed by SMT
poison	low_blood_pressure	removed by SMT
poison	cirrhosis	removed by SMT
poison	liver_damage	removed by SMT
poison	environmental_damage	removed by SMT
poison	physical_damage	removed by SMT
poison	sudden_death	removed by SMT
poison	heart	removed by SMT
poison	constipation	removed by SMT
poison	sickness	removed by SMT
poison	eventual_death	removed by SMT
poison	headache	removed by SMT
leptin_resistance	insulin_resistance	removed by SMT
brain_lesion	seizure	removed by SMT
brain_lesion	insomnia	removed by SMT
pcbs	disease	removed by SMT
pcbs	skin_condition	removed by SMT
pcbs	lung_cancer	removed by SMT
pcbs	deformity	removed by SMT
pcbs	injury	removed by SMT
pcbs	developmental_problem	removed by SMT
tendon	joint_pain	removed by SMT
radicular_pain	pain	removed by SMT
damaged_nerve	neuropathic_pain	removed by SMT
chemotherapy	heart_failure	removed by SMT
chemotherapy	stomach_upset	removed by SMT
chemotherapy	neuropathic_pain	removed by SMT
chemotherapy	muscle_pain	removed by SMT
chemotherapy	skin_reaction	removed by SMT
chemotherapy	tumor	removed by SMT
chemotherapy	brain_injury	removed by SMT
chemotherapy	hair_fall	removed by SMT
chemotherapy	skin_problem	removed by SMT
chemotherapy	glaucoma	removed by SMT
chemotherapy	gastrointestinal_bleeding	removed by SMT
chemotherapy	severe_vomiting	removed by SMT
chemotherapy	depression	removed by SMT
chemotherapy	disorder	removed by SMT
chemotherapy	cognitive_impairment	removed by SMT
chemotherapy	heart_problem	removed by SMT
chemotherapy	relief	removed by SMT
chemotherapy	deficiency	removed by SMT
chemotherapy	kidney_damage	removed by SMT
chemotherapy	low_sperm_count	removed by SMT
chemotherapy	neuritis	removed by SMT
pollutant	environmental_degradation	removed by SMT
pollutant	hazard	removed by SMT
pollutant	symptom	removed by SMT
pollutant	breathing_difficulty	removed by SMT
pollutant	lung_cancer	removed by SMT
pollutant	effect	removed by SMT
pollutant	concern	removed by SMT
pollutant	brain_damage	removed by SMT
pollutant	rash	removed by SMT
migraine_attack	pain	removed by SMT
migraine_attack	stroke	removed by SMT
migraine_attack	nausea	removed by SMT
cerebral_ischemia	brain_injury	removed by SMT
demolition	loss	removed by SMT
demolition	waste	removed by SMT
diabetic_nephropathy	chronic_kidney_failure	removed by SMT
diabetic_nephropathy	hypertension	removed by SMT
suppressed_immune_system	infection	removed by SMT
suppressed_immune_system	illness	removed by SMT
chemical_change_in_the_body	depression	removed by SMT
cortisol_level	craving	removed by SMT
common_ailment	pain	removed by SMT
fat	nausea	removed by SMT
fat	condition	removed by SMT
fat	illness	removed by SMT
fat	weight_loss	removed by SMT
fat	cardiovascular_disease	removed by SMT
fat	fatigue	removed by SMT
fat	puffiness	removed by SMT
fat	pain	removed by SMT
fat	breast_cancer	removed by SMT
fat	harm	removed by SMT
fat	heart_attack	removed by SMT
fat	gynecomastia	removed by SMT
fat	blockage	removed by SMT
fat	inflammation_in_the_body	removed by SMT
physical_disorder	depression	removed by SMT
abdominal_fat	problem	removed by SMT
abdominal_fat	cardiovascular_disease	removed by SMT
abdominal_fat	hypertension	removed by SMT
poor_lifestyle_choice	obesity	removed by SMT
reckless_driving	property_damage	removed by SMT
reckless_driving	fatality	removed by SMT
impatience	disaster	removed by SMT
impatience	bad_decision	removed by SMT
impatience	pain	removed by SMT
high_cortisol_level	heart_disease	removed by SMT
high_cortisol_level	depression	removed by SMT
hormonal_change_in_the_body	hair_loss	removed by SMT
heart_rate	symptom	removed by SMT
heart_rate	kidney_failure	removed by SMT
heart_rate	heart_failure	removed by SMT
heart_rate	chest_pain	removed by SMT
crohn_'_s_disease	severe_diarrhea	removed by SMT
crohn_'_s_disease	nutritional_deficiency	removed by SMT
crohn_'_s_disease	cancer	removed by SMT
breach_of_contract	fire	removed by SMT
breach_of_contract	bankruptcy	removed by SMT
vandalism	fire	removed by SMT
vandalism	crime	removed by SMT
vandalism	flooding	removed by SMT
vandalism	destruction	removed by SMT
vandalism	delay	removed by SMT
vandalism	concern	removed by SMT
vandalism	defect	removed by SMT
low_estrogen_level	hot_flash	removed by SMT
low_estrogen_level	symptom	removed by SMT
low_estrogen_level	hair_loss	removed by SMT
senescence	cell_death	removed by SMT
senescence	problem	removed by SMT
diabetic_retinopathy	complication	removed by SMT
diabetic_retinopathy	blurry_vision	removed by SMT
agent	asthma	removed by SMT
agent	birth_defect	removed by SMT
agent	mortality	removed by SMT
agent	edema	removed by SMT
agent	fracture	removed by SMT
agent	weight_gain	removed by SMT
mastectomy	pain	removed by SMT
heavy_metal	illness	removed by SMT
heavy_metal	toxicity	removed by SMT
heavy_metal	environmental_problem	removed by SMT
heavy_metal	kidney_failure	removed by SMT
heavy_metal	serious_health_problem	removed by SMT
heavy_metal	symptom	removed by SMT
heavy_metal	wrinkle	removed by SMT
heavy_metal	neurological_damage	removed by SMT
heavy_metal	violence	removed by SMT
heavy_metal	cardiomyopathy	removed by SMT
illegal_activity	violation	removed by SMT
illegal_activity	injury	removed by SMT
illegal_activity	incarceration	removed by SMT
wide_range_of_condition	chronic_pain	removed by SMT
crohn_s_disease	ulcer	removed by SMT
maltreatment	depression	removed by SMT
fog	death	removed by SMT
fog	damage	removed by SMT
fog	cancellation	removed by SMT
astigmatism	eyestrain	removed by SMT
addison_'s_disease	complication	removed by SMT
addison_'s_disease	death	removed by SMT
addison_'s_disease	abdominal_pain	removed by SMT
addison_'s_disease	weakness	removed by SMT
addison_'s_disease	weight_loss	removed by SMT
pad	severe_pain	removed by SMT
pad	ulcer	removed by SMT
pad	symptom	removed by SMT
nerve_disorder	paralysis	removed by SMT
co-morbidities	death	removed by SMT
metabolic_dysfunction	obesity	removed by SMT
addiction	financial_problem	removed by SMT
addiction	despair	removed by SMT
addiction	insanity	removed by SMT
addiction	issue	removed by SMT
addiction	physical_symptom	removed by SMT
addiction	medical_problem	removed by SMT
addiction	danger	removed by SMT
addiction	trouble	removed by SMT
addiction	physical_change	removed by SMT
addiction	paranoia	removed by SMT
addiction	pleasure	removed by SMT
addiction	wound	removed by SMT
addiction	negative_feeling	removed by SMT
addiction	brain_change	removed by SMT
addiction	physical_dependence	removed by SMT
addiction	brain_damage	removed by SMT
addiction	drug_addiction	removed by SMT
depression	diabetes	removed by SMT
depression	cancer	removed by SMT
depression	aggression	removed by SMT
depression	disease	removed by SMT
depression	tiredness	removed by SMT
depression	lack_of_appetite	removed by SMT
depression	loss_of_energy	removed by SMT
depression	loss	removed by SMT
depression	mental_disorder	removed by SMT
depression	schizophrenia	removed by SMT
depression	lost_productivity	removed by SMT
depression	infertility	removed by SMT
depression	emotional_stress	removed by SMT
depression	agitation	removed by SMT
depression	complication	removed by SMT
depression	alcohol_use	removed by SMT
depression	decline	removed by SMT
depression	crime	removed by SMT
depression	drinking	removed by SMT
depression	war	removed by SMT
depression	hypertension	removed by SMT
depression	delusion	removed by SMT
depression	fibromyalgia	removed by SMT
depression	irrational_thought	removed by SMT
depression	absenteeism	removed by SMT
depression	change_in_brain_chemistry	removed by SMT
depression	emotional_eating	removed by SMT
depression	risky_sexual_behavior	removed by SMT
depression	vicious_cycle	removed by SMT
depression	inaction	removed by SMT
depression	financial_hardship	removed by SMT
depression	stock_market_crash	removed by SMT
depression	change_in_appetite	removed by SMT
depression	homicide	removed by SMT
depression	poor_nutrition	removed by SMT
depression	loss_of_memory	removed by SMT
depression	thyroid_dysfunction	removed by SMT
depression	marital_problem	removed by SMT
depression	cold	removed by SMT
depression	high_unemployment	removed by SMT
depression	migraine_headache	removed by SMT
depression	memory	removed by SMT
depression	heart_problem	removed by SMT
depression	diagnosis	removed by SMT
depression	chemical_imbalance_in_the_brain	removed by SMT
depression	lack_of_interest	removed by SMT
depression	high_blood_pressure	removed by SMT
depression	brain	removed by SMT
depression	dehydration	removed by SMT
depression	brain_shrinkage	removed by SMT
depression	sexual_problem	removed by SMT
depression	sedentary_lifestyle	removed by SMT
depression	birth_defect	removed by SMT
depression	ill_health	removed by SMT
protest	traffic_jam	removed by SMT
protest	looting	removed by SMT
violence	killing	removed by SMT
violence	suicide	removed by SMT
violence	stress	removed by SMT
violence	serious_consequence	removed by SMT
violence	change	removed by SMT
violence	distress	removed by SMT
violence	terror	removed by SMT
violence	post-traumatic_stress_disorder	removed by SMT
violence	situation	removed by SMT
violence	shooting	removed by SMT
violence	spinal_cord_injury	removed by SMT
violence	issue	removed by SMT
violence	traumatic_brain_injury	removed by SMT
violence	severe_injury	removed by SMT
death	problem	removed by SMT
death	anger	removed by SMT
death	protest	removed by SMT
death	feeling	removed by SMT
death	anxiety	removed by SMT
death	issue	removed by SMT
death	change	removed by SMT
death	bleeding	removed by SMT
death	chaos	removed by SMT
death	scandal	removed by SMT
death	delay	removed by SMT
death	riot	removed by SMT
death	crisis	removed by SMT
death	benefit	removed by SMT
death	destruction	removed by SMT
death	trauma	removed by SMT
death	cancellation	removed by SMT
death	loneliness	removed by SMT
death	financial_hardship	removed by SMT
death	despair	removed by SMT
death	victory	removed by SMT
death	dissolution	removed by SMT
death	speculation	removed by SMT
death	sensation	removed by SMT
death	ceremony	removed by SMT
death	trouble	removed by SMT
death	misfortune	removed by SMT
death	release	removed by SMT
death	disability	removed by SMT
death	panic	removed by SMT
death	closure	removed by SMT
death	criminal_charge	removed by SMT
death	unconsciousness	removed by SMT
death	financial_problem	removed by SMT
death	cost	removed by SMT
death	harm	removed by SMT
chaos	war	removed by SMT
chaos	problem	removed by SMT
chaos	collapse	removed by SMT
chaos	change	removed by SMT
chaos	transition	removed by SMT
chaos	trouble	removed by SMT
chaos	danger	removed by SMT
chaos	depression	removed by SMT
chaos	killing	removed by SMT
arrest	riot	removed by SMT
arrest	harm	removed by SMT
arrest	protest	removed by SMT
arrest	dismissal	removed by SMT
delay	issue	removed by SMT
delay	destruction	removed by SMT
delay	concern	removed by SMT
delay	serious_injury	removed by SMT
delay	higher_cost	removed by SMT
delay	trouble	removed by SMT
delay	mortality	removed by SMT
delay	instability	removed by SMT
delay	distress	removed by SMT
delay	physical_injury	removed by SMT
injury	blood_loss	removed by SMT
injury	pneumonia	removed by SMT
injury	heart_attack	removed by SMT
injury	degenerative_joint_disease	removed by SMT
injury	birth_defect	removed by SMT
injury	inability_to_work	removed by SMT
injury	irritation	removed by SMT
injury	cell_death	removed by SMT
injury	chronic_condition	removed by SMT
injury	missing_teeth	removed by SMT
injury	dysfunction	removed by SMT
injury	blood_poisoning	removed by SMT
injury	medical_emergency	removed by SMT
injury	medical_care	removed by SMT
injury	constant_pain	removed by SMT
injury	necrosis	removed by SMT
injury	stroke	removed by SMT
injury	loss_of_blood	removed by SMT
injury	balance	removed by SMT
injury	confusion	removed by SMT
injury	financial_problem	removed by SMT
injury	physical_symptom	removed by SMT
injury	pancreatitis	removed by SMT
injury	ache	removed by SMT
injury	eye_damage	removed by SMT
injury	fistula	removed by SMT
injury	property_damage	removed by SMT
injury	reduction	removed by SMT
injury	peritonitis	removed by SMT
injury	fear	removed by SMT
injury	emotional_issue	removed by SMT
injury	rsd	removed by SMT
injury	dislocation	removed by SMT
injury	back_surgery	removed by SMT
injury	suicide	removed by SMT
injury	war	removed by SMT
injury	casualty	removed by SMT
injury	emotional_pain	removed by SMT
injury	reduced_blood_flow	removed by SMT
injury	psychological_problem	removed by SMT
injury	irreparable_damage	removed by SMT
injury	psychological_stress	removed by SMT
injury	restriction	removed by SMT
injury	major_problem	removed by SMT
injury	hemorrhage	removed by SMT
injury	cardiac_arrest	removed by SMT
injury	bankruptcy	removed by SMT
injury	spinal_misalignment	removed by SMT
injury	whiplash	removed by SMT
injury	blockage	removed by SMT
injury	tetanus	removed by SMT
injury	back_problem	removed by SMT
injury	neuroma	removed by SMT
injury	crisis	removed by SMT
injury	poverty	removed by SMT
injury	insomnia	removed by SMT
injury	aggression	removed by SMT
injury	risk	removed by SMT
injury	sexual_problem	removed by SMT
injury	motor_vehicle_accident	removed by SMT
injury	anemia	removed by SMT
change	unemployment	removed by SMT
change	disaster	removed by SMT
change	skin_cancer	removed by SMT
change	autism	removed by SMT
change	mood_disorder	removed by SMT
change	major_problem	removed by SMT
change	reaction	removed by SMT
change	metabolic_syndrome	removed by SMT
change	healing	removed by SMT
change	resentment	removed by SMT
change	health_problem	removed by SMT
change	war	removed by SMT
change	cardiac_arrest	removed by SMT
change	vision_problem	removed by SMT
change	dysfunction	removed by SMT
change	competition	removed by SMT
change	shock	removed by SMT
change	disappointment	removed by SMT
change	tinnitus	removed by SMT
change	impairment	removed by SMT
change	harm	removed by SMT
change	diarrhea	removed by SMT
change	emission	removed by SMT
change	deterioration	removed by SMT
change	blindness	removed by SMT
change	lung_cancer	removed by SMT
change	hearing_loss	removed by SMT
change	nausea	removed by SMT
cancellation	problem	removed by SMT
cancellation	change	removed by SMT
riot	casualty	removed by SMT
riot	arrest	removed by SMT
riot	fire	removed by SMT
damage	inflammation	removed by SMT
damage	arthritis	removed by SMT
damage	disability	removed by SMT
damage	mold	removed by SMT
damage	bankruptcy	removed by SMT
damage	hemorrhage	removed by SMT
damage	sensorineural_hearing_loss	removed by SMT
damage	suffering	removed by SMT
damage	increase	removed by SMT
damage	pathology	removed by SMT
damage	discomfort	removed by SMT
damage	claim	removed by SMT
damage	parkinson_'s_disease	removed by SMT
damage	congestive_heart_failure	removed by SMT
damage	closure	removed by SMT
damage	sudden_death	removed by SMT
damage	function	removed by SMT
damage	alzheimer_'_s	removed by SMT
damage	shortage	removed by SMT
damage	weight_loss	removed by SMT
damage	periodontal_disease	removed by SMT
damage	copd	removed by SMT
damage	stiffness	removed by SMT
damage	structural_damage	removed by SMT
damage	insurance	removed by SMT
damage	dysfunction	removed by SMT
damage	degenerative_disease	removed by SMT
damage	degeneration	removed by SMT
damage	fatigue	removed by SMT
damage	diabetic_retinopathy	removed by SMT
damage	frustration	removed by SMT
damage	serious_complication	removed by SMT
damage	senescence	removed by SMT
damage	loss_of_function	removed by SMT
damage	expense	removed by SMT
damage	difficulty_breathing	removed by SMT
killing	death	removed by SMT
looting	destruction	removed by SMT
revolution	confusion	removed by SMT
revolution	change	removed by SMT
revolution	suffering	removed by SMT
revolution	pain	removed by SMT
revolution	war	removed by SMT
revolution	horror	removed by SMT
issue	friction	removed by SMT
issue	break_up	removed by SMT
issue	division	removed by SMT
issue	disruption	removed by SMT
issue	dispute	removed by SMT
issue	variation	removed by SMT
issue	poverty	removed by SMT
issue	question	removed by SMT
issue	serious_injury	removed by SMT
issue	sadness	removed by SMT
issue	loss_of_life	removed by SMT
issue	impotence	removed by SMT
issue	challenge	removed by SMT
issue	riot	removed by SMT
issue	heart_attack	removed by SMT
issue	blindness	removed by SMT
issue	food_insecurity	removed by SMT
issue	aftermath	removed by SMT
high_blood_sugar_level	diabetes	removed by SMT
high_blood_sugar_level	symptom	removed by SMT
high_blood_sugar_level	serious_complication	removed by SMT
high_blood_sugar_level	poor_blood_circulation	removed by SMT
high_blood_sugar_level	damage_to_nerve	removed by SMT
complication	illness	removed by SMT
complication	infection	removed by SMT
complication	injury	removed by SMT
complication	hysterectomy	removed by SMT
complication	low_blood_sugar	removed by SMT
complication	failure	removed by SMT
complication	hospital_admission	removed by SMT
complication	mental_retardation	removed by SMT
complication	asphyxia	removed by SMT
complication	heart	removed by SMT
complication	damage	removed by SMT
complication	excessive_bleeding	removed by SMT
complication	diabetes_mellitus	removed by SMT
complication	fracture	removed by SMT
nerve_damage	gastroparesis	removed by SMT
nerve_damage	dry_mouth	removed by SMT
nerve_damage	peripheral_neuropathy	removed by SMT
nerve_damage	sexual_dysfunction	removed by SMT
nerve_damage	gangrene	removed by SMT
blindness	complication	removed by SMT
blindness	stigma	removed by SMT
problem	birth_defect	removed by SMT
problem	obesity	removed by SMT
problem	complaint	removed by SMT
problem	low_self-esteem	removed by SMT
problem	protest	removed by SMT
problem	exploitation	removed by SMT
problem	side_effect	removed by SMT
problem	global_financial_crisis	removed by SMT
problem	eyestrain	removed by SMT
problem	withdrawal	removed by SMT
problem	jaundice	removed by SMT
problem	sleep_apnea	removed by SMT
problem	friction	removed by SMT
problem	blockage	removed by SMT
problem	exclusion	removed by SMT
problem	tragedy	removed by SMT
problem	constipation	removed by SMT
problem	child_abuse	removed by SMT
problem	action	removed by SMT
problem	recession	removed by SMT
problem	division	removed by SMT
problem	shame	removed by SMT
problem	incarceration	removed by SMT
problem	flooding	removed by SMT
problem	social_unrest	removed by SMT
problem	abandonment	removed by SMT
problem	frequent_urination	removed by SMT
problem	phenomenon	removed by SMT
problem	gambling	removed by SMT
problem	scar	removed by SMT
problem	heating	removed by SMT
problem	fatality	removed by SMT
problem	miscommunication	removed by SMT
problem	removal	removed by SMT
problem	physical_illness	removed by SMT
problem	learning	removed by SMT
problem	property_damage	removed by SMT
problem	injustice	removed by SMT
problem	pregnancy	removed by SMT
problem	indigestion	removed by SMT
problem	effect	removed by SMT
problem	nausea	removed by SMT
problem	allergic_reaction	removed by SMT
problem	erectile_dysfunction	removed by SMT
problem	dry_mouth	removed by SMT
problem	odor	removed by SMT
problem	debt	removed by SMT
problem	anorexia	removed by SMT
problem	blood_poisoning	removed by SMT
problem	panic	removed by SMT
problem	deadlock	removed by SMT
problem	policy	removed by SMT
problem	sleep_disorder	removed by SMT
problem	social_problem	removed by SMT
problem	shoulder_pain	removed by SMT
problem	ulcer	removed by SMT
diabetes	change	removed by SMT
diabetes	low_blood_pressure	removed by SMT
diabetes	ketoacidosis	removed by SMT
diabetes	health_condition	removed by SMT
diabetes	neurological_damage	removed by SMT
diabetes	heart_damage	removed by SMT
diabetes	metabolic_syndrome	removed by SMT
diabetes	gout	removed by SMT
diabetes	low_vision	removed by SMT
diabetes	chd	removed by SMT
diabetes	fatigue	removed by SMT
diabetes	sexual_problem	removed by SMT
diabetes	ct	removed by SMT
diabetes	dysfunction	removed by SMT
diabetes	pancreatic_cancer	removed by SMT
diabetes	eye_damage	removed by SMT
diabetes	secondary_complication	removed by SMT
diabetes	dehydration	removed by SMT
diabetes	cardiomyopathy	removed by SMT
diabetes	severe_health_problem	removed by SMT
diabetes	skin_disease	removed by SMT
diabetes	arthritis	removed by SMT
diabetes	chf	removed by SMT
diabetes	deafness	removed by SMT
diabetes	pad	removed by SMT
diabetes	serious_health_condition	removed by SMT
diabetes	low_blood_sugar	removed by SMT
diabetes	serious_illness	removed by SMT
diabetes	increased_risk	removed by SMT
diabetes	liver_problem	removed by SMT
diabetes	low_level	removed by SMT
diabetes	poor_health	removed by SMT
diabetes	serious_disease	removed by SMT
heart_disease	cardiac_arrest	removed by SMT
heart_disease	congestive_heart_failure	removed by SMT
heart_disease	sickness	removed by SMT
heart_disease	hardening_of_the_artery	removed by SMT
heart_disease	bradycardia	removed by SMT
heart_disease	blindness	removed by SMT
symptom	side_effect	removed by SMT
symptom	vomiting	removed by SMT
symptom	dizziness	removed by SMT
symptom	serious_illness	removed by SMT
symptom	panic	removed by SMT
symptom	high_blood_pressure	removed by SMT
symptom	sudden_death	removed by SMT
symptom	bleeding	removed by SMT
